Name,Genre,Date,Actors,Season,Episode,Rating,ProductionCompany,Directors,Writers,Runtime,IsFinished
 Umut Yolculari,Crime,2011–2012,"'Sevda Karabulut', 'Marius Toma', 'Yunus Günçe', 'Özgür Özaslan'",1,1,6.2,Erler Film,'Ümmü Burhan','Kubilay Zerener',61,1
 Zalim,Adventure,2003,"'Nebahat Çehre', 'Safak Sezer', 'Mahsun Kirmizigül', 'Ceyda Düvenci'",1,3,3.0,Hayal Mahsulleri Ofisi,"'Jale Incekol', 'Faruk Teber'",'Tayfun Güneyer',61,1
 Küçük Besleme,Drama,1999–2001,"'Tomris Oguzalp', 'Esmeray', 'Kenan Pars', 'Suna Yildizoglu'",3,175,4.3,Hayal Mahsulleri Ofisi,"'Naci Çelik Berksoy', 'Ahmet Hossöyler'","'Sevda Aktolga', 'Ilker Arslan'",60,1
 Cam Kiriklari,Drama,2009,"'Nursel Ergin', 'Ipek Tenolcay', 'Kadir Kandemir', 'Ceren Benderlioglu'",1,4,3.7,Filma Cass,'Onur Tan',"'Onur Sener', 'Ahmet Can Cakirca'",61,1
 Cesaretin Var mi Aska,"Comedy, Romance",2008,"'Fatih Kenan Gündogdu', 'Engin Altan Düzyatan', 'Özge Özpirinçci', 'Tarik Pabuccuoglu'",1,8,4.2,Filma Cass,'Ömer Ugur',"'Yasar Arak', 'Resul Ertas'",90,1
 Dügün Sarkicisi,"Comedy, Drama, Family",2008,"'Mustafa Uzunyilmaz', 'Nese Karaböcek', 'Murat Yaman', 'Muhittin Paydas'",1,20,5.9,Istanbul Mass Media,"'Onur Tan', 'Sengül Halat'","'Sahin Alparslan', 'Elif Ayan'",61,1
 Zeynep,"Drama, Family",2005–2006,"'Gökçe Akyildiz', 'Funda Anapa', 'Suat Güzey', 'Dilek Pakalin'",1,29,5.7,Id Pro,"'Aram Gülyüz', 'Filiz Gülmez Pakman'","'Melek Gençoglu', 'Makbule Kosif'",61,1
 Cemile,Drama,2006,"'Türkan Soray', 'Bulut Aras', 'Gözde Kansu', 'Selim Erdogan'",1,20,5.2,Limon Film,'Haluk Bener',"'Tolga Akdogan', 'Mine Baysan'",61,1
 Deli Sarayli,"Comedy, History",2010,"'Rahmi Akyol', 'Engin Alkan', 'Deniz Atam', 'Hakter Balaban'",1,20,6.4,Süreç Film,"'Aydin Bulut', 'Gani Müjde'","'Özlem Aybek', 'Emre Bülbül'",90,1
 Zirve,Drama,2023–,"'Selin Senen', 'Buse Yasar', 'Kardelen Kubat', 'Bahadir Üstün'",1,8,5.7,Buballs Pictures,'Necdet Berk Sezen',"'Necdet Berk Sezen', 'Ezgi Özkan'",25,0
 Senden Baska,"Comedy, Drama, Romance",2007,"'Saadet Aksoy', 'Tolga Futaci', 'Ezgi Mola', 'Serdar Yegin'",1,19,5.0,TIMS Productions,"'Jale Incekol', 'Metin Balekoglu'","'Eylem Canpolat', 'Sema Ergenekon'",61,1
