Name,Genre,Date,Actors,Season,Episode,Rating,ProductionCompany,Directors,Writers,Runtime,IsFinished
 As the Crow Flies,Drama,2022–,"'Birce Akalay', 'Miray Daner', 'Ibrahim Celikkol', 'Irem Sak'",2,16,6.3,Ay Yapim,"'Deniz Yorulmazer', 'Koray Kerimoglu'",'Meriç Acemi',45,0
 Persona,"Crime, Drama, Mystery",2018–,"'Haluk Bilginer', 'Sebnem Bozoklu', 'Recep Usta', 'Cansu Dere'",2,20,9.0,Ay Yapim,'Onur Saylak','Hakan Gunday',60,0
 The Family,"Action, Crime, Drama",2023–,"'Kivanç Tatlitug', 'Serenay Sarikaya', 'Nur Sürer', 'Nejat Isler'",2,25,6.6,"'Ay Yapim', 'Show TV'","'Ahmet Katiksiz', 'Gökçen Usta'","'Hakan Bonomo', 'Adilcan Güresçi'",137,0
 Wild Heart,"Drama, Romance",2023–,"'Halit Özgür Sari', 'Simay Barlas', 'Yurdaer Okur', 'Dolunay Soysert'",1,16,7.3,NTC Medya,'Çagatay Tosun',"'Serap Gazel', 'Çisem Katilmaz'",144,0
 Love Is in the Air,"Comedy, Romance",2020–2021,"'Hande Erçel', 'Kerem Bürsin', 'Evrim Dogan', 'Anil Ilter'",2,52,7.3,MF Yapim,"'Altan Dönmez', 'Ender Mihlar'","'Ayse Kutlu', 'Erdem Açikgöz'",120,1
 Family Secrets,"Crime, Drama",2021–,"'Kaan Urgancioglu', 'Pinar Deniz', 'Hüseyin Avni Danyal', 'Zeyno Eracar'",3,80,8.4,Ay Yapim,"'Ali Bilgin', 'Beste Sultan Kasapogullari'","'Sema Ergenekon', 'Sema Ergenekon'",150,0
 The Pit,"Action, Crime, Thriller",2016–2021,"'Aras Bulut Iynemli', 'Erkan Kolçak Köstendil', 'Riza Kocaoglu', 'Cem Uslu'",4,132,7.6,Ay Yapim,"'Sinan Ozturk', 'Özgür Sevimli'","'Gökhan Horzum', 'Damla Serim'",120,1
 Golden Boy,"Drama, Romance",2022–,"'Afra Saraçoglu', 'Mert Ramazan Demir', 'Gülçin Santircioglu', 'Emre Altug'",2,51,6.2,OGM Pictures,"'Burcu Alptekin', 'Alptekin Bozkurt'","'Gülseren Budayicioglu', 'Mehmet Baris Günger'",120,0
 The Tailor,"Drama, Mystery, Thriller",2023,"'Çagatay Ulusoy', 'Salih Bademci', 'Sifanur Gül', 'Olgun Simsek'",3,23,6.2,OGM Pictures,'Cem Karci',"'Gülseren Budayicioglu', 'Onur Güvenatam'",45,1
 Dirilis: Ertugrul,"Action, Adventure, Drama",2014–2019,"'Engin Altan Düzyatan', 'Hülya Darcan', 'Cengiz Coskun', 'Nurettin Sönmez'",5,179,7.9,"'TRT', 'Tekden Film'","'Metin Günay', 'Akif Özkan'","'Mehmet Bozdag', 'Mehmet Bozdag'",120,1
 Çekiç ve Gül: Bir Behzat Ç,"Action, Crime, Drama",2022–,"'Erdal Besikçioglu', 'Inanç Konukçu', 'Berkan Sal', 'Evliya Aykan'",2,11,8.6,Ortaks Yapim,'Devrim Yalçin',"'Emrah Serbes', 'Ercan Ugur'",45,0
 Another Love,"Crime, Drama, Romance",2023,"'Burak Deniz', 'Hande Erçel', 'Cem Davran', 'Gülçin Hatihan'",1,15,7.2,Tims & B Productions,"'Neslihan Yesilyurt', 'Özlem Günhan'","'Tolga Aydin', 'Tolga Aydin'",130,1
 The Protector,"Action, Adventure, Drama",2018–2020,"'Çagatay Ulusoy', 'Hazar Ergüçlü', 'Okan Yalabik', 'Burçin Terzioglu'",4,32,6.5,"'O3 Medya', 'Netflix Studios', 'Netflix'","'Umut Aral', 'Gonenc Uyanik'","'N. Ipek Gökdel', 'N. Ipek Gökdel'",40,1
 Endless Love,"Drama, Romance",2015–2017,"'Burak Özçivit', 'Neslihan Atagül', 'Kaan Urgancioglu', 'Orhan Güner'",2,89,7.4,Ay Yapim,"'Hilal Saral', 'Ekin Pandir'","'Burcu Görgün', 'Burcu Görgün'",90,1
 My Name Is Farah,"Action, Crime, Drama",2023,"'Engin Akyürek', 'Demet Özdemir', 'Firat Tanis', 'Lale Basar'",2,26,6.4,O3 Medya,"'Recai Karagöz', 'Adem Demir'","'Cenk Bogatur', 'Deniz Dargi'",139,1
 Establishment: Osman,"Action, Adventure, Drama",2019–,"'Burak Özçivit', 'Özge Törer', 'Yigit Ucan', 'Cagri Sensoy'",5,141,7.6,"'ATV', 'Bozdag Film', 'Tekden Film'","'Ahmet Yilmaz', 'Fethi Bayram'","'Asli Zeynep Peker Bozdag', 'Asli Zeynep Peker Bozdag'",120,0
 Ezel,"Crime, Drama, Thriller",2009–2011,"'Kenan Imirzalioglu', 'Cansu Dere', 'Yigit Özsener', 'Baris Falay'",2,71,8.7,Ay Yapim,"'Uluç Bayraktar', 'Mert Akbas'","'Pinar Bulut', 'Pinar Bulut'",90,1
 Cranberry Sorbet,"Drama, Romance",2022–,"'Baris Kilic', 'Evrim Alasya', 'Sila Turkoglu', 'Sibel Tasçioglu'",2,42,6.7,Gold Film,'Ketche',"'Ezgi Ayaz', 'Melis Civelek'",61,0
 Forbidden Apple,"Drama, Romance",2018–2023,"'Sevval Sam', 'Eda Ece', 'Baris Aytac', 'Vildan Vatansever'",6,177,5.8,"'Fox TV', 'Medyapim', 'Medyapim'","'Neslihan Yesilyurt', 'Ece Erdek Koçoglu'","'Melis Civelek', 'Zeynep Gür'",120,1
 Daydreamer,"Comedy, Romance",2018–2019,"'Demet Özdemir', 'Can Yaman', 'Öznur Serçeler', 'Berat Yenilmez'",1,51,7.4,"'Gold Film', 'Gold Yapim'","'Cagri Bayrak', 'Aytac Cicek'","'Meriç Acemi', 'Yesim Citak'",120,1
 Forbidden Love,"Drama, Romance",2008–2010,"'Beren Saat', 'Kivanç Tatlitug', 'Nebahat Çehre', 'Hazal Kaya'",2,79,7.7,"'Ay Yapim', 'Netflix'",'Hilal Saral',"'Melek Gençoglu', 'Isil Sonmez'",90,1
 Love for Rent,"Comedy, Romance",2015–2017,"'Elçin Sangu', 'Baris Arduç', 'Salih Bademci', 'Nergis Kumbasar'",2,69,7.3,Ortaks Yapim,"'Senol Sönmez', 'Baris Yös'","'Meriç Acemi', 'Meriç Acemi'",120,1
 The Unfaithful,"Drama, Thriller",2020–2022,"'Cansu Dere', 'Caner Cindoruk', 'Melis Sezen', 'Özge Özder'",2,60,6.5,"'Mednova', 'Medyapim'","'Neslihan Yesilyurt', 'Levent Turkan'","'Mike Bartlett', 'Merve Girgin'",120,1
 Behzat Ç: An Ankara Detective Story,"Crime, Drama, Mystery",2010–2019,"'Erdal Besikçioglu', 'Inanç Konukçu', 'Ege Aydan', 'Berkan Sal'",4,105,8.9,"'Adam Film', 'Inter Medya'","'Serdar Akar', 'Dogan Ümit Karaca'","'Ercan Mehmet Erdem', 'Ercan Mehmet Erdem'",90,1
 Ne Gemiler Yaktim,Drama,2023–,"'Deniz Baysal', 'Devrim Özkan', 'Berk Hakman', 'Erkan Kolçak Köstendil'",1,3,6.7,"'Adam Film', 'Inter Medya'",'Altan Dönmez',"'Banu Kiremitçi Bozkurt', 'Banu Kiremitçi Bozkurt'",61,0
 The Club,Drama,2021–2023,"'Gökçe Bahadir', 'Baris Arduç', 'Asude Kalebek', 'Firat Tanis'",2,20,7.8,O3 Medya,"'Zeynep Gunay Tan', 'Seren Yüce'","'Rana Denizer', 'Rana Denizer'",55,1
 Leyla and Mecnun,"Adventure, Comedy, Drama",2011–2023,"'Ali Atay', 'Serkan Keskin', 'Osman Sonant', 'Ahmet Mümtaz Taylan'",7,144,9.1,"'Eflatun Film', 'Paradox Film'","'Onur Ünlü', 'Eyüp Boz'","'Burak Aksak', 'Hamza Asgin'",80,1
 Sandik Kokusu,Drama,2023–,"'Özge Özpirinçci', 'Demet Akbag', 'Necip Memili', 'Sahin Sancak'",1,2,5.5,"'Eflatun Film', 'Paradox Film'",'Nezaket Coskun',"'Melis Civelek', 'Zeynep Gür'",61,0
 Boundless Love,"Action, Drama",2023–,"'Deniz Can Aktas', 'Miray Daner', 'Esra Dermancioglu', 'Asuman Dabak'",1,13,6.7,"'Eflatun Film', 'Paradox Film'",'Murat Öztürk',"'Berna Aruz', 'Haydar Sisman'",61,0
 Saladin: The Conquerer of Jerusalem,"Action, History",2023–,"'Ugur Günes', 'Dilin Doger', 'Mehmet Ali Nuroglu', 'Murat Han'",1,5,5.0,"'Akli Film', 'Ansari Shah Films'",'Sedat Inci',"'Feyza Altindal', 'Hasan Emirez'",61,0
 Bitter Lands,Drama,2018–2022,"'Hilal Altinbilek', 'Bülent Polat', 'Sibel Tasçioglu', 'Polen Emre'",4,141,5.3,"'ATV', 'Tims & B Productions'","'Evren Karabiyik Günaydin', 'Murat Saraçoglu'","'Derem Ciray', 'Su Ersöz'",120,1
 Black Money Love,"Action, Crime, Drama",2014–2015,"'Tuba Büyüküstün', 'Engin Akyürek', 'Burak Tamdogan', 'Bedia Ener'",2,54,7.6,Ay Yapim,'Ahmet Katiksiz',"'Eylem Canpolat', 'Sema Ergenekon'",90,1
 Shahmaran,"Adventure, Drama, Fantasy",2023–,"'Serenay Sarikaya', 'Burak Deniz', 'Mustafa Ugurlu', 'Mahir Günsiray'",1,10,5.2,Tims & B Productions,"'Umur Turagay', 'Bertan Basaran'",'Pinar Bulut',60,0
 Insider,"Action, Crime, Drama",2016–2017,"'Çagatay Ulusoy', 'Aras Bulut Iynemli', 'Çetin Tekindor', 'Nihal G. Koldas'",1,39,8.1,Ay Yapim,'Uluç Bayraktar',"'Toprak Karaoglu', 'Ertan Kurtulan'",60,1
 If You Love,"Comedy, Drama, Romance",2023,"'Kerem Bürsin', 'Hafsanur Sancaktutan', 'Hatice Aslan', 'Serif Erol'",1,13,6.8,Ay Yapim,"'Ali Bilgin', 'Beste Sultan Kasapogullari'","'Ahmet Ruhan Arca', 'Ceyda Asar'",133,1
 Don't Let Go of My Hand,Drama,2018–2019,"'Alina Boz', 'Alp Navruz', 'Dolunay Soysert', 'Ebru Aykaç'",2,59,6.6,US Yapim,"'Mücahit Akyoldas', 'Sadullah Celen'","'Nilüfer Aydin', 'Nilüfer Aydin'",120,1
 Inconstant Love,"Drama, Romance",2019–2021,"'Akin Akinözü', 'Ebru Sahin', 'Ayda Aksel', 'Macit Sonkan'",3,81,6.6,"'MIA Yapim', 'Mia Yapim'","'Tairi Benal', 'Cem Karci'","'Sümeyye Ezel', 'Bersan Tan'",120,1
 Waiting for the Sun,Drama,2013–2014,"'Kerem Bürsin', 'Hande Dogandemir', 'Yagmur Tanrisevsin', 'Ismail Ege Sasmaz'",1,54,6.9,D Productions,'Altan Dönmez',"'Aysin Akbulut', 'Ekin Atalar'",120,1
 Hide Me,"Drama, Family, Romance",2023–,"'Uraz Kaygilaroglu', 'Cemre Baysel', 'Asude Kalebek', 'Senay Gürler'",1,7,4.6,D Productions,'Nadim Güç',"'Elif Basaran', 'Gülseren Budayicioglu'",61,0
 The Valley of the Wolves,"Action, Crime, Drama",2003–2005,"'Necati Sasmaz', 'Özgü Namal', 'Gürkan Uygun', 'Umut Tabak'",4,97,7.9,"'Sinegraf', 'Pana Film'","'Osman Sinav', 'Serdar Akar'","'Raci Sasmaz', 'Mehmet Turgut'",60,1
 Ebb and Tide,"Comedy, Drama, Romance",2013–2015,"'Çagatay Ulusoy', 'Serenay Sarikaya', 'Metin Akdülger', 'Baris Falay'",2,77,7.1,Ay Yapim,'Ali Bilgin',"'Burcu Görgün', 'J.J. Philbin'",100,1
 Last Summer,"Action, Crime, Drama",2021,"'Alperen Duymaz', 'Ali Atay', 'Hafsanur Sancaktutan', 'Arif Piskin'",2,26,8.0,O3 Medya,"'Semih Bagci', 'Burak Arliel'","'Cenk Bogatur', 'Cenk Bogatur'",120,1
 Sapphire,"Drama, Romance",2023–,"'Ilhan Sen', 'Özge Yagiz', 'Burak Berkay Akgül', 'Ipek Tuzcuoglu'",1,17,6.3,O3 Medya,'Semih Bagci',"'Esma Öztürk Baris', 'Nagehan Güven'",120,0
 Kuzgun,"Action, Drama, Romance",2019,"'Baris Arduç', 'Burcu Biricik', 'Hatice Aslan', 'Caner Sahin'",2,21,7.9,Ay Yapim,"'Bahadir Ince', 'Murat Aksu'","'Burcu Görgün', 'Ozlem Yilmaz'",120,1
 Runaway,"Action, Adventure, Drama",2022–,"'Engin Akyürek', 'Irem Helvacioglu', 'Aziz Çapkurt', 'Levent Ülgen'",2,11,6.2,"'O3 Medya', 'Same Film'",'Yagiz Alp Akaydin',"'Engin Akyürek', 'Ali Dogancay'",45,0
 Who Were We Running From?,"Crime, Drama, Mystery",2023,"'Melisa Sözen', 'Eylül Tumbar', 'Musa Uzunlar', 'Basak Dasman'",1,7,5.8,1441 Productions,"'Umut Aral', 'Gökçen Usta'","'Ertan Kurtulan', 'Perihan Magden'",45,1
 Kuzey Güney,Drama,2011–2013,"'Kivanç Tatlitug', 'Bugra Gülsoy', 'Öykü Karayel', 'Mustafa Avkiran'",2,80,7.7,Ay Yapim,"'Mehmet Ada Öztekin', 'Hilal Saral'","'Melek Gençoglu', 'Bilal Kivrak'",90,1
 Brave and Beautiful,"Crime, Drama, Romance",2016–2017,"'Kivanç Tatlitug', 'Tuba Büyüküstün', 'Tamer Levent', 'Erkan Avci'",1,32,7.4,Ay Yapim,'Ali Bilgin',"'Ece Yörenç', 'Ece Yörenç'",120,1
 Ayak Isleri,"Action, Comedy",2021–2023,"'Çaglar Çorumlu', 'Güven Murat Akpinar', 'Cagla Irmak', 'Sebnem Sönmez'",3,30,8.4,"'AC Film', 'Gain'",'Caner Özyurtlu',"'Volkan Öge', 'Volkan Öge'",20,1
 Gülcemal,"Drama, Romance",2023,"'Murat Ünalmis', 'Melis Sezen', 'Edip Tepeli', 'Nilay Erdönmez'",1,13,7.2,MF Yapim,"'Merve Çolak', 'Yusuf Pirhasan'","'Selda Akin', 'Eda Tezcan'",124,1
 Heart of the City,Drama,2017,"'Kerem Bürsin', 'Gürkan Uygun', 'Leyla Lydia Tugutlu', 'Osman Alkas'",1,20,6.6,Ay Yapim,"'Çagri Vila Lostuvali', 'Ender Mihlar'","'Ece Yörenç', 'Melek Gençoglu'",120,1
 Alparslan: The Great Seljuks,"Action, History, War",2021–2023,"'Baris Arduç', 'Aysegül Ünsal', 'Kutay Sungar', 'Burak Safak'",2,61,7.7,"'Akli Film', 'Akli Film', 'TRT'",'Sedat Inci',"'Abdullah Akin', 'Feyza Altindal'",120,1
 Another Self,"Drama, Romance",2022–,"'Tuba Büyüküstün', 'Seda Bakan', 'Boncuk Yilmaz', 'Murat Boz'",1,8,6.6,"'OGM Pictures', 'OGM Pictures'",'Burcu Alptekin',"'Nergis Akoglu', 'Aysenur Siki'",50,0
 Kurt Seyit & Sura,"Drama, History, Romance",2014,"'Kivanç Tatlitug', 'Farah Zeynep Abdullah', 'Demet Özdemir', 'Caglar Ertugrul'",2,21,7.3,Ay Yapim,"'Hakan Inan', 'Hilal Saral'","'Nermin Bezmen', 'Ece Yörenç'",90,1
 Yakamoz S-245,"Action, Adventure, Drama",2022,"'Kivanç Tatlitug', 'Jerry Hoffmann', 'Ecem Uzun', 'Özge Özpirinçci'",1,7,6.2,"'OGM Pictures', 'OG Medya'","'Umut Aral', 'Tolga Karaçelik'","'Jacek Dukaj', 'Jason George'",45,1
 Bir Derdim Var,Drama,2023,"'Birce Akalay', 'Mert Firat', 'Engin Hepileri', 'Erdem Senocak'",1,6,7.3,"'OGM Pictures', 'OG Medya'",'Burak Müjdeci',"'Ahmet Birsen', 'Duygu Ertekin'",61,1
 Price of Passion,"Action, Drama, Romance",2017–2018,"'Ibrahim Celikkol', 'Birce Akalay', 'Muhammet Uzuner', 'Cahit Gök'",1,32,8.0,"'OGM Pictures', 'OG Medya'","'Altan Dönmez', 'Emir Khalilzadeh'","'Erkan Birgören', 'Eylem Canpolat'",140,1
 Hekimoglu,"Comedy, Drama, Mystery",2019–2021,"'Timuçin Esen', 'Okan Yalabik', 'Kaan Yildirim', 'Aytaç Sasmaz'",2,51,7.1,"'Karga Seven Pictures', 'Ojo Pictures'","'Emre Aybek', 'Hülya Gezer'","'Banu Kiremitçi Bozkurt', 'Banu Kiremitçi Bozkurt'",120,1
 For My Son,"Action, Adventure, Comedy",2015–2017,"'Burçin Terzioglu', 'Ilker Kaleli', 'Musa Uzunlar', 'Ali Il'",3,82,8.2,Limon Film,"'Çagri Vila Lostuvali', 'Osman Tasci'","'Ali Dogancay', 'Deniz Gürlek'",120,1
 Hear Me,"Drama, Romance",2022,"'Rabia Soyturk', 'Caner Topcu', 'Sümeyye Aydogan', 'Murat Daltaban'",1,20,6.6,Süreç Film,'Ali Balci',"'Okan Basar Bahar', 'Okan Basar Bahar'",127,1
 Love 101,"Comedy, Drama, Romance",2020–2021,"'Alina Boz', 'Mert Yazicioglu', 'Kubilay Aka', 'Selahattin Pasali'",2,16,7.4,Ay Yapim,"'Ahmet Katiksiz', 'Deniz Yorulmazer'",'Meriç Acemi',40,1
 Altin Kafes,Drama,2023–,"'Aytaç Sasmaz', 'Sifanur Gül', 'Ebru Cündübeyoglu', 'Hayal Köseoglu'",1,3,4.9,Ay Yapim,'Cem Akyoldas',"'Rahsan Çigdem Inan', 'Soon-ok Kim'",61,0
 Girls of the Sun,"Comedy, Drama, Romance",2015–2016,"'Emre Kinay', 'Evrim Alasya', 'Tolga Saritas', 'Burcu Özberk'",1,39,5.9,Ay Yapim,"'Sadullah Celen', 'Ayça Yaykin Yikilgan'","'Cenk Bogatur', 'Deniz Dargi'",120,1
 The Gift,"Drama, Fantasy, Mystery",2019–2021,"'Beren Saat', 'Mehmet Günsür', 'Melisa Senolsun', 'Metin Akdülger'",3,24,7.0,"'Netflix Studios', 'Netflix', 'OG Medya'","'Burcu Alptekin', 'Gonenc Uyanik'","'Sengül Boybas', 'Nuran Evren Sit'",40,1
 My Siblings,Drama,2021–,"'Celil Nalçakan', 'Fadik Sevin Atasoy', 'Simge Selçuk', 'Yigit Koçak'",4,114,6.0,NGM,'Serkan Birinci',"'Efehan Aslan', 'Ilker Baris'",120,0
 Sahane Hayatim,Drama,2023–,"'Hilal Altinbilek', 'Onur Tuna', 'Yigit Özsener', 'Gökçe Eyüboglu'",1,7,5.5,NGM,'Cagri Bayrak',"'Meriç Acemi', 'Meriç Acemi'",61,0
 Eskiya Dünyaya Hükümdar Olmaz,"Action, Crime, Drama",2015–2021,"'Oktay Kaynarca', 'Yunus Emre Yildirimer', 'Ozan Akbaba', 'Hakan Karsak'",6,199,6.8,"'ATV', 'BVB', 'Fark Film'","'Onur Tan', 'Baran Ozcaylan'","'Berna Aruz', 'Berna Aruz'",120,1
 Double Trouble,"Action, Crime",2018–2019,"'Ibrahim Celikkol', 'Kerem Bürsin', 'Özge Gürel', 'Öykü Karayel'",1,12,6.7,TMC Film,"'Çagatay Tosun', 'Baris Ercetin'","'Basar Basaran', 'Emre Özdür'",120,1
 Midnight at the Pera Palace,"Drama, History, Mystery",2022–,"'Hazal Kaya', 'Tansu Biçer', 'Selahattin Pasali', 'James Chalmers'",2,9,7.0,Karga Seven Pictures,"'Emre Sahin', 'Nisan Dag'","'Sam Anzel', 'Charles King'",45,0
 Marasli,Drama,2021,"'Burak Deniz', 'Alina Boz', 'Serhat Mustafa Kiliç', 'Saygin Soysal'",1,26,7.7,Tims & B Productions,"'Arda Sarigün', 'Kudret Sabanci'","'Ercan Ugur', 'Ethem Özisik'",120,1
 Crash,"Action, Drama, Thriller",2018–2019,"'Kivanç Tatlitug', 'Elçin Sangu', 'Alperen Duymaz', 'Melisa Pamuk'",1,24,7.5,Ay Yapim,"'Uluç Bayraktar', 'Ufuk Hakan Eren'",'Ali Aydin',120,1
 Our Story,"Comedy, Drama, Romance",2017–2019,"'Hazal Kaya', 'Burak Deniz', 'Reha Özcan', 'Yagiz Can Konyali'",2,70,6.5,Medyapim,"'Serdar Gözelekli', 'Koray Kerimoglu'","'Paul Abbott', 'Paul Abbott'",120,1
 Actress,"Crime, Drama, Thriller",2023–,"'Pinar Deniz', 'Uraz Kaygilaroglu', 'Ahmet Rifat Sungar', 'Tolga Tekin'",1,8,5.4,BKM,'Soner Caner','Hakan Bonomo',45,0
 Anne,Drama,2016–2017,"'Cansu Dere', 'Beren Gokyildiz', 'Vahide Perçin', 'Gonca Vuslateri'",1,33,6.9,"'MF Yapim', 'Medyapim'","'Merve Girgin', 'Nadim Güç'","'Berfu Ergenekon', 'Deniz Gürlek'",120,1
 Full Moon,"Comedy, Drama, Romance",2017,"'Özge Gürel', 'Can Yaman', 'Hakan Kurtas', 'Necip Memili'",1,26,7.0,No Dokuz,'Cagri Bayrak',"'Fikret Bekler', 'Elif Ozsut'",120,1
 The Shadow Team,"Action, Drama",2021–,"'Serdar Yegin', 'Deniz Baysal', 'Ahmet Ugur Say', 'Turgut Tuncalp'",4,89,6.6,Tims & B Productions,"'Burak Arliel', 'Burak Müjdeci'","'Lokman Maral', 'Onur Sener'",150,0
 Kan Çiçekleri,"Drama, Romance",2022–,"'Baris Baktas', 'Yagmur Yuksel', 'Ekrem Aral Tuna', 'Nuray Serefoglu'",1,145,7.3,"'Rains Pictures', 'Unik Film'","'Ömer Baykul', 'Canan Çelik'","'Burak Acar', 'Simge Akovalier'",60,0
 Between the World and Us,Drama,2022–,"'Demet Özdemir', 'Bugra Gülsoy', 'Hafsanur Sancaktutan', 'Zerrin Tekindor'",1,8,5.6,MF Yapim,'Hülya Gezer','Pinar Bulut',60,0
" Love, Reason, Get Even","Comedy, Drama, Family",2021–2022,"'Burcu Özberk', 'Ilhan Sen', 'Mehmet Korhan Firat', 'Günay Karacaoglu'",1,50,6.7,No 9 Productions,"'Murat Öztürk', 'Koray Kerimoglu'","'Inci Özlem Hekimoglu', 'Nil Güleç Ünsal'",120,1
 Matter of Respect,"Drama, Romance",2014–2015,"'Kerem Bürsin', 'Sükrü Özyildiz', 'Sükran Ovali', 'Burcu Biricik'",1,26,7.2,D Productions,'Altan Dönmez',"'Gamze Arslan', 'Teodosio Losito'",90,1
 Mr,"Comedy, Romance",2020,"'Can Yaman', 'Özge Gürel', 'Gürgen Öz', 'Fatma Toptas'",1,43,6.5,Gold Film,'Deniz Yorulmazer',"'Banu Zengin Tak', 'Asli Zengin'",130,1
 What Is Fatmagul's Fault?,"Drama, Romance",2010–2012,"'Beren Saat', 'Engin Akyürek', 'Firat Çelik', 'Murat Daltaban'",2,80,5.9,Ay Yapim,"'Hilal Saral', 'Hakan Inan'","'Melek Gençoglu', 'Vedat Türkali'",90,1
 Ethos,"Drama, Thriller",2020,"'Öykü Karayel', 'Fatih Artman', 'Funda Eryigit', 'Defne Kayalar'",1,8,8.5,Krek Film,'Berkun Oya','Berkun Oya',50,1
 My Left Side,Drama,2020–2021,"'Özge Yagiz', 'Tolga Mendi', 'Cemre Baysel', 'Emre Bey'",1,12,6.8,"'BKM', 'Besiktas Kültür Merkezi (BKM)'","'Baris Yös', 'Serdar Gözelekli'","'Melis Civelek', 'Melis Civelek'",120,1
 No: 309,"Comedy, Romance",2016–2017,"'Demet Özdemir', 'Furkan Palali', 'Sumru Yavrucuk', 'Gökçe Özyol'",2,65,4.8,Gold Film,"'Hasan Tolga Pulat', 'Emre Kavuk'","'Banu Zengin Tak', 'Asli Zengin'",120,1
 Love Doesn't Understand Words,"Comedy, Romance",2016–2017,"'Hande Erçel', 'Burak Deniz', 'Özcan Tekdemir', 'Merve Çagiran'",1,31,7.4,Bi Yapim,"'Beste Sultan Kasapogullari', 'Muge Ugurlar'","'Makbule Kosif', 'Makbule Kosif'",68,1
 The Steppe,"Crime, Drama, Mystery",2018–,"'Yigit Özsener', 'Bülent Düzgünoglu', 'Ekin Koç', 'Nur Fettahoglu'",2,18,8.0,ARC Film,"'Bahadir Ince', 'Sahin Altug'","'Levent Cantek', 'Ali Demirel'",50,0
 The Magnificent Century: Kosem,"Drama, History, Romance",2015–2017,"'Hakan Sahin', 'Sener Savas', 'Nurgül Yesilçay', 'Ece Çesmioglu'",2,60,6.6,TIMS Productions,"'Yagiz Alp Akaydin', 'Mert Baykal'","'Eset Akcilad', 'Eset Akcilad'",120,1
 The Oath,"Action, Drama, Romance",2017–2019,"'Tolga Saritas', 'Meric Aral', 'Nihat Altinkaya', 'Görkem Sevindik'",3,84,6.8,Tims & B Productions,"'Yagiz Alp Akaydin', 'Burak Müjdeci'","'Adem Biyik', 'Aksel Bonfil'",140,1
 Ates Kuslari,Drama,2023–,"'Ilayda Alisan', 'Hande Soral', 'Burak Tozkoparan', 'Görkem Sevindik'",2,37,6.2,Bozdag Film,"'Bülent Isbilen', 'Yildiz Asanboga'","'Samed Aslan', 'H. Zeynep Bonçe'",61,0
 The Queen,Drama,2023,"'Burcu Özberk', 'Gökhan Alkan', 'Selin Sekerci', 'Özgün Karaman'",1,11,5.2,Mednova,"'Cevdet Mercan', 'Serhan Sahin'","'Natile Baszile', 'Ava DuVernay'",61,1
 First and Last,"Drama, Romance",2021,"'Özge Özpirinçci', 'Salih Bademci', 'Gulcin Kultur Sahin', 'Serkan Ercan'",1,8,8.1,BluTV,'Cem Karci','Hakan Bonomo',60,1
 Cherry Season,"Comedy, Romance",2014–2015,"'Özge Gürel', 'Serkan Çayoglu', 'Nilperi Sahinkaya', 'Daghan Külegeç'",2,59,5.7,BluTV,"'Eda Teksöz', 'Tarkan Karlidag'","'Asli Zengin', 'Gökhan Horzum'",120,1
 Karadayi,"Action, Crime, Drama",2012–2015,"'Kenan Imirzalioglu', 'Bergüzar Korel', 'Çetin Tekindor', 'Riza Kocaoglu'",3,115,7.7,Ay Yapim,"'Uluç Bayraktar', 'Cem Karci'","'Eylem Canpolat', 'Berfu Ergenekon'",120,1
 El Turco,"Action, Adventure, Drama",2023–,"'Can Yaman', 'Nigel Pilkington', 'Robert Holik', 'Greta Ferro'",1,6,5.7,"'Ay Yapim', 'Disney+', 'Film Force'",'Uluç Bayraktar',"'Kerem Deren', 'Çisil Hazal Tenim'",61,0
 Magarsus,Drama,2023–,"'Berkay Ates', 'Caglar Ertugrul', 'Merve Dizdar', 'Burcu Gölgedar'",2,9,7.8,"'FARO Company', 'Faro Film'",'Yunus Ozan Korkut',"'Yunus Ozan Korkut', 'Mustafa Yürüktümen'",60,0
 Esaret,"Drama, Thriller",2022–,"'Ali Yagiz Durmus', 'Melahat Abbasova', 'Mahassine Merabet', 'Cenk Torun'",2,214,6.7,Karamel Yapim,"'Serkan Mut', 'Ayhan Özen'",'Basak Yazi Odasi',50,0
 Erkek Severse,"Comedy, Drama, Romance",2022,"'Alperen Duymaz', 'Büsra Develi', 'Yasemin Kay Allen', 'Görkem Sevindik'",1,26,6.8,Gold Film,"'Ömür Atay', 'Zeliha Orman'",'Asli Zengin',45,1
 Pretty Little Liars,"Drama, Mystery, Thriller",2015,"'Burak Deniz', 'Sükrü Özyildiz', 'Büsra Develi', 'Alperen Duymaz'",1,13,6.0,O3 Medya,'Cem Karci',"'Elif Usman', 'Deniz Büyükkirli'",120,1
 Çilek Kokusu,Romance,2015,"'Demet Özdemir', 'Yusuf Çim', 'Ekin Mert Daymaz', 'Mahir Günsiray'",1,23,5.9,Gold Film,"'Adnan Güler', 'Filiz Gülmez Pakman'","'Banu Zengin Tak', 'Asli Zengin'",90,1
 Fi,"Drama, Romance",2017–2018,"'Ozan Güven', 'Serenay Sarikaya', 'Mehmet Günsür', 'Berrak Tüzünataç'",2,22,7.8,Ay Yapim,'Mert Baykal',"'Nuket Bicakci', 'Azra Kohen'",60,1
